Name,Position,Club,Age,Matches Played,Starts,Minutes,Goals,Assists,Goals & Assists
Caleb Okoli,DF,Leicester City,23,19,12,1125,1,0,1
Robin Olsen,GK,Aston Villa,34,4,1,226,0,0,0
Amadou Onana,MF,Aston Villa,22,26,20,1617,3,0,3
André Onana,GK,Manchester Utd,28,34,34,3060,0,0,0
Paul Onuachu,FW,Southampton,30,25,11,1050,4,1,5
Frank Onyeka,MF,Brentford,26,2,0,25,0,0,0
Lewis Orford,MF,West Ham,18,2,0,49,0,0,0
Stefan Ortega,GK,Manchester City,31,13,12,1100,0,0,0
William Osula,FW,Newcastle Utd,20,14,0,134,1,0,1
Dango Ouattara,FW,Bournemouth,22,32,21,2005,7,4,11
Nico O’Reilly,DF,Manchester City,19,9,6,528,2,0,2
Alex Palmer,GK,Ipswich Town,27,13,13,1170,0,0,0
